Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
000569,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0012 - Center Point Energy review and engineering fees to encroach their gas line,0057,6/22/2025,6/22/2025,iBeach Holding Partners LLC,"1,447.88",147.88,6/22/2025
000581,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0013 - Costs to add bathrooms to volley ball courts,0064,6/24/2025,6/24/2025,iBeach Holding Partners LLC,"104,072.18","10,629.18",6/24/2025
000605,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0014,0067,6/24/2025,6/24/2025,iBeach Holding Partners LLC,"337,872.78","34,507.78",7/2/2025
000583,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0015 - Encroachment surveying and exhibit_x000A_As Builts for new regulated drain for Hamilton County Surveyors office to complete bond requirements.,0066,6/25/2025,6/25/2025,iBeach Holding Partners LLC,"2,784.38",284.38,6/25/2025
000785,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0018 - Add for ISO at Collective slab perimeter_x000A_Add for concrete mix to accelerate curing to maintain steel schedule,0134,8/6/2025,8/6/2025,iBeach Holding Partners LLC,0.00,0.00,8/6/2025
000826,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0019 - ISO at Slab Perimeter was not included in CD's and was an RFI add from Merritt._x000A_Foundation Add Mix needed to maintain schedule due to weather delays. _x000A_Lime Stabilize Parking Lot due to unsuitable soils. Remediation was excluded from contra,0141,8/22/2025,8/22/2025,iBeach Holding Partners LLC,0.00,0.00,8/22/2025
001040,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0023 - Extend north concrete patio from original termination location to the edge of the East side of the building._x000A_Add trench drain system and tie into existing storm structure located within the patio footprint. _x000A_Install (5) footers for 20' vol,0157,9/5/2025,9/5/2025,iBeach Holding Partners LLC,"80,746.88","8,246.88",9/17/2025
001243,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0024 - City of Westfield plan review fees:_x000A_General Plan Review Fee_x000A_Storm Plan Review_x000A_Storm Erosion Control Permit Fee_x000A_General Plan Review Fee- Corporate_x000A_Fire Plan Review_x000A_State Plan Reviews_x000A_Monthly Inspections_x000A_ILP Release,0164,9/23/2025,9/23/2025,iBeach Holding Partners LLC,"42,207.51","4,310.75",10/7/2025
001244,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0025 - Westfield Public Works Fiber Optic Utility was installed within the limits of the South side shoulder work._x000A_Zayo was contracted to come out and relocate this utility to outside our construction limits.,0165,9/23/2025,9/23/2025,iBeach Holding Partners LLC,"32,670.19","3,336.69",10/7/2025
001422,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0026 - Interior Design Change Order 2/3_x000A_Breeze Blocks_x000A_Railings and hightops_x000A_Doors_x000A_Storefront Glass_x000A_Framing/Drywall_x000A_Interior Painting,0216,10/9/2025,10/9/2025,iBeach Holding Partners LLC,"235,365.06","24,038.43",10/31/2025
001420,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0026 - Interior Design Change Order 2/3_x000A_Breeze Blocks_x000A_Railings and hightops_x000A_Doors_x000A_Storefront Glass_x000A_Framing/Drywall_x000A_Interior Painting,0214,10/9/2025,10/9/2025,iBeach Holding Partners LLC,"235,365.06","24,038.43",10/31/2025
001423,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0027 - Interior Design Change Order 3/3_x000A_Casework/Millwork_x000A_Granite Countertops,0217,10/9/2025,10/9/2025,iBeach Holding Partners LLC,"230,911.15","23,583.52",10/31/2025
001421,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0027 - Interior Design Change Order 3/3_x000A_Casework/Millwork_x000A_Granite Countertops,0215,10/9/2025,10/9/2025,iBeach Holding Partners LLC,"230,911.15","23,583.52",10/31/2025
001466,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0029 - Added sidewalk from north volleyball patio to sidewalk leading to dumpster. This additional cost for sidewalk is split between iBeach Holding and Craving Crapes.,0232,11/17/2025,11/17/2025,iBeach Holding Partners LLC,"3,677.32",375.57,11/26/2025
001467,On Hold,DEFAULT,IBEACH,24-115,PCCO-2403-0030 - Added sidewalk from north volleyball patio to sidewalk leading to dumpster. This additional cost for sidewalk is split between iBeach and Craving Crapes,0233,11/17/2025,11/17/2025,iBeach Holding Partners LLC,"3,677.32",375.57,11/26/2025
001468,On Hold,DEFAULT,IBEACH,24-115,"PCCO-2403-0033 - (3) Exterior Gooseneck lights that Mike added during the 11/12/2025 owners site walk_x000A_Cost for purchasing lights and labor for install on the parapet wall_x000A_These are the more cost effective lights, which Mike approved on 11/18/2025",0234,11/19/2025,11/19/2025,iBeach Holding Partners LLC,"2,784.38",284.38,11/26/2025
000479,On Hold,DEFAULT,IBEACH,24-115,PCO-001 - Resurfacing 181st- City of Westfield increased the amount of resurfacing required on 181st St. by just over double._x000A_Citizens required ductile iron pipe in lieu of our proposed PVC water line to the fire hydrant. _x000A_Fire Marshall required the FDC to,0040,4/29/2025,4/29/2025,iBeach Holding Partners LLC,"47,005.83","4,800.83",5/13/2025
000477,On Hold,DEFAULT,IBEACH,24-115,PCO-002 - Deduct costs to split up the VB side from the Bar/Restaurant side.,0038,4/30/2025,4/30/2025,iBeach Holding Partners LLC,"--1,782,000.00","--182,000.00",5/13/2025
000478,On Hold,DEFAULT,IBEACH,24-115,PCO-003 - Engineering fees for combining parcels and re-platting with The City of Westfield.,0039,5/1/2025,5/1/2025,iBeach Holding Partners LLC,"3,898.13",398.13,5/13/2025
000480,On Hold,DEFAULT,IBEACH,24-115,PCO-004 - Existing drain tile across iBeach property and neighboring farm from 2023 agreement with the County,0041,5/1/2025,5/1/2025,iBeach Holding Partners LLC,"17,511.42","1,788.49",5/13/2025
000488,On Hold,DEFAULT,IBEACH,24-115,PCO-005 - Addition of temp fencing around court 7_x000A_Installation of mulch path from YMCA to Court 7,0044,5/16/2025,5/16/2025,iBeach Holding Partners LLC,"2,648.50",270.50,5/16/2025
000514,On Hold,DEFAULT,IBEACH,24-115,PCO-006 - Split costs of Damn Good Interior Design to be paid directly by Alleato Group.,0054,6/5/2025,6/5/2025,iBeach Holding Partners LLC,"8,032.00",0.00,6/5/2025
